Title,Available Globally,Release Date,Hours Viewed
Stranger Things,Yes,7/15/2016,77800000
Paw Patrol: The Movie,No,,77200000
Sing 2,No,,76600000
The Crown: Season 5,Yes,11/9/2022,76300000
Next in Fashion: Season 2,Yes,3/3/2023,75700000
Gilmore Girls: Season 2,Yes,,75200000
Lucifer: Season 5,No,8/21/2020,75200000
The Boss Baby,No,,75100000
Treason: Limited Series,Yes,12/26/2022,74300000
Trolls,No,,73400000
Blood Ties: Season 1 // Las Villamizar: Season 1,No,,73300000
Money Heist: Part 1 // La casa de papel: Parte 1,Yes,7/1/2017,73100000
Rough Diamonds: Season 1,Yes,4/21/2023,72800000
Vincenzo: Season 1 // 빈센조: 시즌 1,Yes,2/20/2021,72800000
The Walking Dead: Season 10,No,,72200000
The Witcher: Season 1,Yes,12/20/2019,72200000
Gabby's Dollhouse: Season 1,Yes,1/5/2021,71600000
The Walking Dead: Season 3,No,,71600000
Carrossel,No,,71300000
Gilmore Girls: Season 3,Yes,,71300000
Red Rose: Season 1,Yes,2/15/2023,71100000
Fauda: Season 4 // פאודה: עונה 4,Yes,1/20/2023,71000000
New Amsterdam (2018): Season 3,No,,70600000
Gilmore Girls: Season 5,Yes,,69900000
Gilmore Girls: Season 4,Yes,,69800000
The Blacklist: Season 2,No,,69700000
"Divorce Attorney Shin: Limited Series // 신성한, 이혼: 리미티드 시리즈",Yes,3/4/2023,69500000
Stranger Things 2,Yes,10/27/2017,69200000
Hometown Cha-Cha-Cha: Season 1 // 갯마을 차차차: 시즌 1,Yes,8/28/2021,69000000
Love Is Blind: Season 3,Yes,10/19/2022,68900000
Kill Boksoon // 길복순,Yes,3/31/2023,68500000
The Thundermans: Season 1,No,,68500000
The Flash (2014): Season 1,No,,68200000
Red Notice,Yes,11/12/2021,68100000
Henry Danger: Season 1,No,,67800000
The Queen of Flow: Season 2 // La reina del flow: Temporada 2,No,11/17/2021,67800000
The Walking Dead: Season 2,No,,67700000
Viking Wolf // Vikingulven,Yes,2/3/2023,67500000
Designated Survivor: Season 2,Yes,9/28/2017,67200000
Bebefinn: Season 1,Yes,,67100000
Hotel Transylvania 2,No,,67000000
Stranger Things 3,Yes,7/4/2019,67000000
Masha and the Bear: Season 1,No,,66700000
Outlander: Season 1,No,3/31/2016,66500000
Grizzy and the Lemmings: Season 2,No,,66000000
Single’s Inferno: Season 2 // 솔로지옥: 시즌 2,Yes,12/13/2022,65900000
The Witcher: Blood Origin: Limited Series,Yes,12/25/2022,65300000
The Nurse: Limited Series // Sygeplejersken: Miniserie,Yes,4/27/2023,65200000
The Watcher: Season 1,Yes,10/13/2022,64400000
Jumanji: The Next Level,No,,64300000
Suits (2011): Season 4,Yes,,64200000
Gilmore Girls: Season 6,Yes,,63900000
The Tailor: Season 1 // Terzi: 1. Sezon,Yes,5/2/2023,63900000
All American: Season 5,No,,63700000
Peppa Pig: Season 2,No,,63700000
DAHMER: Monster: The Jeffrey Dahmer Story,Yes,9/21/2022,63500000
The Blacklist: Season 3,No,,63500000
Narvik,No,1/23/2023,63100000
Home (2015),No,,62800000
The Sea Beast,Yes,7/8/2022,62700000
The Walking Dead: Season 4,No,,62300000
Harry & Meghan: Limited Series,Yes,12/8/2022,62000000
The Walking Dead: Season 5,No,,62000000
My Dad the Bounty Hunter: Season 1,Yes,2/9/2023,61800000
Dog Gone,Yes,1/13/2023,61600000
Maid: Limited Series,Yes,10/1/2021,61500000
Pasión de Gavilanes: Season 2,No,,61500000
A Man Called Otto,No,,61300000
Peaky Blinders: Season 1,No,9/30/2014,61100000
Victorious: Season 1,No,,61100000
Never Have I Ever: Season 1,Yes,4/27/2020,61000000
THE DAYS: Limited Series,No,6/1/2023,60800000
Eva Lasting: Season 1 // La primera vez: Temporada 1,Yes,2/15/2023,60600000
Unseen: Season 1,Yes,3/29/2023,60100000
Narcos: Season 1,Yes,8/28/2015,59900000
The Walking Dead: Season 6,No,,59800000
MADOFF: The Monster of Wall Street: Limited Series,Yes,1/4/2023,59600000
The Witcher: Season 2,Yes,12/17/2021,59300000
Sky Rojo: Season 3,Yes,1/13/2023,58500000
Young Lady and Gentleman // 신사와 아가씨,No,,58500000
Miraculous: Tales of Ladybug & Cat Noir: Season 1,No,,58300000
Never Have I Ever: Season 3,Yes,8/12/2022,58300000
The Gray Man,Yes,7/22/2022,58300000
S.W.A.T. (2017): Season 2,No,,57900000
ONE PIECE: East Blue // ワンピース: イーストブルー編,No,,57800000
Brooklyn Nine-Nine: Season 1,No,,57500000
New Amsterdam (2018): Season 4,No,,57500000
Workin' Moms: Season 7,No,4/26/2023,57500000
Barbie Life in the Dreamhouse: Season 1,Yes,,57400000
The Walking Dead: Season 7,No,,57400000
The Blacklist: Season 8,No,,57000000
The Sandman: Season 1,Yes,8/5/2022,56700000
True Spirit,Yes,2/3/2023,56700000
CoComelon: Season 5,No,3/31/2022,56600000
Gilmore Girls: Season 7,Yes,,56500000
The Strays,Yes,2/22/2023,56500000
Suits (2011): Season 5,Yes,,56400000
The Croods,No,,56400000
Grizzy and the Lemmings: Season 1,No,,56300000
The Empress: Season 1 // Die Kaiserin: Staffel 1,Yes,9/29/2022,56000000
Matilda (1996),No,,55700000
Outlast: Season 1,Yes,3/10/2023,55500000
The Good Doctor: Season 1,No,,55500000
CoComelon: Season 7,No,2/14/2023,55200000
Jane The Virgin: Season 1,Yes,,55200000
The Blacklist: Season 4,No,,55200000
VINLAND SAGA: Season 2 // ヴィンランド・サガ: シーズン2,No,,55100000
The Queen of Flow: Season 1 // La reina del flow: Temporada 1,No,11/9/2018,55000000
Brooklyn Nine-Nine: Season 2,No,,54800000
Carinha de Anjo: Season 1,No,,54400000
"Surviving Escobar - Alias JJ: Season 1 // Sobreviviendo a Escobar, Alias JJ: Temporada 1",No,7/31/2017,54400000
The Circle: Season 5,Yes,12/28/2022,54400000
The Ultimatum: Queer Love: Season 1,Yes,5/24/2023,53800000
Never Have I Ever: Season 2,Yes,7/15/2021,53700000
Brooklyn Nine-Nine: Season 3,No,,53600000
¡Que viva México!,Yes,5/11/2023,53500000
Emily in Paris: Season 2,Yes,12/22/2021,53300000
The Last Kingdom: Season 5,No,3/9/2022,53300000
Full Swing: Season 1,Yes,2/15/2023,53100000
The Walking Dead: Season 8,No,,53000000
Welcome to Eden: Season 1 // Bienvenidos a Edén: Temporada 1,Yes,5/6/2022,53000000
We Can Be Heroes,Yes,12/25/2020,52800000
Arnold: Limited Series,Yes,6/7/2023,52500000
Better Call Saul: Season 1,No,2/8/2015,52500000
The King's Affection: Season 1 // 연모: 시즌 1,Yes,10/11/2021,52400000
Shameless (U.S.): Season 1,No,,52300000
Missing: Dead or Alive?: Season 1,Yes,5/10/2023,52200000
Bodyguard: Season 1,Yes,10/24/2018,52000000
Dr. Seuss' The Lorax,No,,52000000
1899: Season 1,Yes,11/17/2022,51800000
A Tourist's Guide to Love,Yes,4/21/2023,51800000
It's Okay to Not Be Okay: Season 1 // 사이코지만 괜찮아: 시즌 1,Yes,6/20/2020,51800000
Vikings (2013): Season 4,No,,51800000
Faraway,Yes,3/8/2023,51700000
Blood & Gold,Yes,5/26/2023,51600000
I Am Georgina: Season 2 // Soy Georgina: Temporada 2,Yes,3/24/2023,51600000
The Blacklist: Season 5,No,,51600000
Little Women: Limited Series // 작은 아씨들: 리미티드 시리즈,No,9/3/2022,51300000
Grey's Anatomy: Season 2,No,,51200000
The Walking Dead: Season 9,No,,51200000
The Office (U.S.): Season 3,No,,51000000
The Last Kingdom: Season 1,Yes,12/28/2015,50900000
The Endless Night: Limited Series // Todo Dia a Mesma Noite: Minissérie,Yes,1/25/2023,50800000
Faithfully Yours,No,5/17/2023,50600000
Masha and the Bear: Season 3,No,,50400000
Masha and the Bear: Season 5,No,,50300000
The Office (U.S.): Season 5,No,,50100000
2 Hearts,No,,50000000
Suits (2011): Season 6,Yes,,50000000
Tin & Tina,Yes,5/26/2023,49700000
The Blacklist: Season 6,No,,49600000
Friends (1994): Season 6,No,,49400000
Love Is Blind: Brazil: Season 2 // Casamento às Cegas: Brasil: Temporada 2,Yes,12/28/2022,49300000
VINLAND SAGA: Season 1 // ヴィンランド・サガ: シーズン1,Yes,,49300000
"Newly Rich, Newly Poor: Season 1 // Nuevo rico, nuevo pobre: Temporada 1",No,,49200000
The Lincoln Lawyer: Season 1,Yes,5/13/2022,49200000
Brooklyn Nine-Nine: Season 4,No,,48900000
Cobra Kai: Season 5,Yes,9/9/2022,48900000
Orange Is the New Black: Season 1,Yes,7/11/2013,48800000
El final del paraíso: Season 1,No,,48600000
Shooter: Season 1,No,11/16/2016,48600000
Brooklyn Nine-Nine: Season 5,No,,48500000
Rosario Tijeras (Mexico): Season 1,No,,48500000
The Smurfs (2021): Season 1,No,,48400000
Emily in Paris: Season 1,Yes,10/2/2020,48300000
The Magician's Elephant,Yes,3/17/2023,48300000
Friends (1994): Season 5,No,,48200000
Shrek,No,,48100000
Suits (2011): Season 7,Yes,,48100000
Teen Titans Go!: Season 5,No,,48100000
American Manhunt: The Boston Marathon Bombing: Limited Series,Yes,4/12/2023,47900000
Twenty Five Twenty One: Season 1 // 스물다섯 스물하나: 시즌 1,Yes,2/12/2022,47800000
Shrek 2,No,,47500000
JUNG_E // 정이,Yes,1/20/2023,47100000
Friends (1994): Season 3,No,,46900000
The School for Good and Evil,Yes,10/19/2022,46900000
Puss in Boots (2011),No,,46600000
The Thundermans: Season 2,No,,46500000
Friends (1994): Season 1,No,,46400000
Teen Titans Go!: Season 1,No,,46400000
Rana Naidu: Season 1 // राणा नायडू: सीज़न 1,Yes,3/10/2023,46300000
From Scratch: Limited Series,Yes,10/21/2022,46200000
Bake Squad: Season 2,Yes,1/20/2023,46100000
Friends (1994): Season 7,No,,46100000
Under the Queen's Umbrella: Limited Series // 슈룹: 리미티드 시리즈,Yes,10/15/2022,46100000
Ganglands: Season 2 // Braqueurs : La série: Saison 2,Yes,2/17/2023,46000000
The Queen's Gambit: Limited Series,Yes,10/23/2020,45900000
Virgin River: Season 4,Yes,7/20/2022,45900000
Gabby's Dollhouse: Season 7,Yes,3/20/2023,45800000
A Beautiful Life,Yes,6/1/2023,45700000
Peppa Pig: Season 6,No,,45700000
Copycat Killer: Season 1 // 模仿犯: 第 1 季,Yes,3/31/2023,45600000
Avatar: The Last Airbender: Book 1,No,,45500000
Friends (1994): Season 9,No,,45400000
Peaky Blinders: Season 2,No,11/14/2014,45400000
The Flash (2014): Season 2,No,,45400000
Boys Over Flowers: Volume 1 // 꽃보다 남자: 1권,No,,45300000
The Office (U.S.): Season 2,No,,45300000
Transatlantic: Limited Series,Yes,4/7/2023,45300000
Friends (1994): Season 4,No,,45200000
Masha and the Bear: Season 2,No,,45100000
Friends (1994): Season 8,No,,44900000
The Woman King,No,,44900000
Love Island USA: Season 2,No,,44800000
Money Heist: Part 5 // La casa de papel: Parte 5,Yes,9/3/2021,44700000
The Walking Dead: Season 1,No,,44600000
Grey's Anatomy: Season 3,No,,44300000
S.W.A.T. (2017): Season 3,No,,44200000
Las muñecas de la mafia: Season 1,No,7/1/2015,44000000
Lucifer: Season 4,No,5/8/2019,44000000
Better Call Saul: Season 5,No,2/24/2020,43900000
Teen Wolf (2011): Season 3,No,,43900000
Friends (1994): Season 2,No,,43800000
In Love All Over Again: Season 1 // Todas las veces que nos enamoramos: Season 1,Yes,2/14/2023,43800000
PIECES OF HER: Season 1,Yes,3/4/2022,43800000
F9: The Fast Saga,No,,43700000
The 100: Season 1,No,,43600000
The Blacklist: Season 7,No,,43500000
Vikings (2013): Season 5,No,,43400000
Shameless (U.S.): Season 2,No,,43300000
The Office (U.S.): Season 6,No,,43300000
El Chema: Season 1,No,,43200000
Rosario Tijeras (Mexico): Season 2,No,,43200000
Santiago of the Seas: Season 1,No,,43200000
Seinfeld: Season 6,Yes,,43200000
Inside Man: Season 1,Yes,10/31/2022,43100000
The Last Kingdom: Season 4,No,4/26/2020,42900000
Through My Window 2: Across the Sea // A través de mi ventana 2: A través del mar,Yes,6/23/2023,42900000
CoComelon: Season 6,Yes,9/5/2022,42800000
Seinfeld: Season 4,Yes,,42800000
Valeria: Season 3,Yes,6/2/2023,42800000
Pokémon The Series: Indigo League: Season 1 // ポケットモンスター,No,,42700000
Purple Hearts,Yes,7/29/2022,42700000
The Last Kingdom: Season 3,Yes,11/19/2018,42700000
Waco: American Apocalypse: Limited Series,Yes,3/22/2023,42700000
Gabby's Dollhouse: Season 2,Yes,8/10/2021,42600000
Too Hot to Handle: Season 4,Yes,12/7/2022,42600000
Guillermo del Toro’s Pinocchio,Yes,12/9/2022,42500000
Unlocked // 스마트폰을 떨어뜨렸을 뿐인데,Yes,2/17/2023,42500000
The Crown: Season 1,Yes,11/4/2016,42400000
Arrow: Season 1,No,,42300000
Blippi's Adventures: Season 1,Yes,,42100000
The Good Doctor: Season 4,No,,42100000
Lucifer: Season 6,No,9/10/2021,41800000
"Pamela, a love story",Yes,1/31/2023,41800000
Chor Nikal Ke Bhaga // चोर निकल के भागा,Yes,3/24/2023,41700000
Seinfeld: Season 7,Yes,,41700000
The Garfield Show: Season 1,No,,41500000
Agency: Season 1 // 대행사: 시즌 1,No,,41400000
White Chicks,No,,41400000
Wellmania: Season 1,Yes,3/29/2023,41300000
Seinfeld: Season 3,Yes,,41200000
The Creature Cases: Chapter 1,Yes,4/12/2022,41200000
Maestro in Blue: Season 1 // Maestro: Season 1,Yes,12/18/2022,41100000
Turbo (2013),No,,41100000
McGREGOR FOREVER: Limited Series,Yes,5/17/2023,41000000
Black Money Love: Season 1 // Kara Para Ask: Sezon 1,No,,40900000
Bloodshot (2020),No,,40900000
The Flash (2014): Season 8,No,,40900000
El Chapo: Season 1,Yes,6/16/2017,40600000
Shameless (U.S.): Season 3,No,,40600000
Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc // 鬼滅の刃: 刀鍛冶の里編,No,,40500000
