iter	Passed	Remaining
751	10558	3481
752	10572	3468
753	10587	3454
754	10601	3440
755	10615	3426
756	10630	3412
757	10645	3398
758	10661	3385
759	10677	3371
760	10694	3358
761	10709	3345
762	10724	3331
763	10740	3317
764	10755	3303
765	10768	3289
766	10782	3275
767	10797	3261
768	10812	3248
769	10829	3234
770	10844	3220
771	10858	3206
772	10873	3193
773	10888	3179
774	10903	3165
775	10917	3151
776	10931	3137
777	10945	3123
778	10958	3108
779	10972	3094
780	10986	3080
781	11000	3066
782	11014	3052
783	11028	3038
784	11042	3024
785	11055	3010
786	11070	2996
787	11085	2982
788	11099	2968
789	11111	2953
790	11125	2939
791	11139	2925
792	11153	2911
793	11168	2897
794	11182	2883
795	11196	2869
796	11210	2855
797	11225	2841
798	11238	2827
799	11252	2813
800	11266	2798
801	11279	2784
802	11292	2770
803	11305	2756
804	11320	2742
805	11336	2728
806	11351	2714
807	11366	2700
808	11379	2686
809	11393	2672
810	11406	2658
811	11420	2644
812	11433	2629
813	11447	2615
814	11461	2601
815	11475	2587
816	11489	2573
817	11501	2558
818	11515	2544
819	11529	2530
820	11540	2516
821	11554	2502
822	11567	2487
823	11581	2473
824	11595	2459
825	11609	2445
826	11622	2431
827	11637	2417
828	11651	2403
829	11665	2389
830	11679	2375
831	11693	2361
832	11709	2347
833	11723	2333
834	11737	2319
835	11750	2305
836	11763	2290
837	11778	2276
838	11792	2262
839	11806	2248
840	11819	2234
841	11832	2220
842	11847	2206
843	11861	2192
844	11875	2178
845	11889	2164
846	11903	2150
847	11914	2135
848	11928	2121
849	11943	2107
850	11957	2093
851	11972	2079
852	11987	2065
853	12002	2051
854	12015	2037
855	12030	2023
856	12044	2009
857	12057	1995
858	12071	1981
859	12085	1967
860	12098	1953
861	12112	1939
862	12126	1925
863	12140	1910
864	12152	1896
865	12166	1882
866	12180	1868
867	12193	1854
868	12207	1840
869	12220	1826
870	12235	1812
871	12248	1798
872	12262	1783
873	12276	1769
874	12289	1755
875	12303	1741
876	12317	1727
877	12331	1713
878	12345	1699
879	12359	1685
880	12373	1671
881	12387	1657
882	12401	1643
883	12414	1629
884	12427	1614
885	12441	1600
886	12454	1586
887	12467	1572
888	12480	1558
889	12493	1544
890	12507	1530
891	12521	1516
892	12535	1501
893	12548	1487
894	12562	1473
895	12576	1459
896	12590	1445
897	12603	1431
898	12618	1417
899	12632	1403
900	12646	1389
901	12660	1375
902	12673	1361
903	12686	1347
904	12700	1333
905	12713	1319
906	12727	1305
907	12740	1290
908	12754	1276
909	12768	1262
910	12783	1248
911	12798	1234
912	12812	1220
913	12825	1206
914	12838	1192
915	12852	1178
916	12865	1164
917	12879	1150
918	12892	1136
919	12905	1122
920	12918	1108
921	12932	1094
922	12946	1080
923	12960	1065
924	12973	1051
925	12987	1037
926	13001	1023
